epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.2079,1.66674,3.04436,1.33386,0.82343,0.68289,0.80013,0.40556,1.49086,1.71951,1.25272,0.00198571,0.000661905,0.00198571,0.000661905,0.00198571,0.000661905,0.00198571,0.000661905
2,67.3286,1.39099,1.36222,1.11127,0.92247,0.83542,0.90864,0.56039,1.28658,1.09081,1.03711,0.0039068,0.00130227,0.0039068,0.00130227,0.0039068,0.00130227,0.0039068,0.00130227
3,93.3376,1.28935,1.08863,1.02849,0.90902,0.87055,0.91792,0.57171,1.26902,0.89472,1.01564,0.00574868,0.00191623,0.00574868,0.00191623,0.00574868,0.00191623,0.00574868,0.00191623
4,116.11,1.2517,0.95254,1.01545,0.93292,0.87234,0.93181,0.58448,1.24526,0.76778,1.00752,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,139.408,1.21828,0.84675,0.99893,0.93895,0.8861,0.93632,0.60105,1.21816,0.69161,0.99775,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,161.117,1.19901,0.78429,0.99428,0.94313,0.88198,0.93829,0.60733,1.20117,0.66021,1.00179,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,182.958,1.18478,0.74445,0.99596,0.9423,0.90015,0.94544,0.60652,1.21793,0.64509,1.00302,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,204.703,1.15964,0.70211,0.9874,0.93063,0.90216,0.94198,0.61618,1.18463,0.63283,0.99662,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,230.892,1.17236,0.69382,0.99052,0.95214,0.88839,0.94855,0.61436,1.18089,0.61358,1.00047,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,258.173,1.16439,0.6664,0.99282,0.95681,0.88931,0.94632,0.61973,1.18564,0.59317,1.0004,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,285.17,1.14752,0.64888,0.98365,0.93697,0.91001,0.95171,0.62266,1.17608,0.57579,0.99799,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,309.253,1.14018,0.63491,0.98062,0.95352,0.88761,0.94539,0.62131,1.17753,0.56263,1.00158,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,335.317,1.12175,0.61727,0.97867,0.94799,0.89062,0.9474,0.62947,1.16046,0.54158,0.9947,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,358.519,1.10878,0.60152,0.97537,0.96024,0.89663,0.94897,0.62369,1.17052,0.54272,0.99623,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,381.499,1.12311,0.59403,0.97894,0.94449,0.89714,0.94987,0.62328,1.17875,0.54722,0.99895,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,404.302,1.1037,0.58207,0.97369,0.95719,0.89965,0.94755,0.62656,1.18001,0.53666,0.99796,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,428.858,1.12048,0.57873,0.97361,0.94414,0.90065,0.94904,0.63027,1.16746,0.53217,0.99437,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,454.181,1.12051,0.57666,0.97391,0.9561,0.89413,0.94977,0.63194,1.16911,0.52535,0.99234,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,481.279,1.10768,0.56262,0.97052,0.95951,0.89865,0.95013,0.62678,1.18917,0.52444,0.99935,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,505.085,1.08782,0.55873,0.9665,0.95775,0.90416,0.94902,0.64249,1.1406,0.51059,0.98829,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,528.771,1.10804,0.55306,0.97149,0.95478,0.90053,0.94884,0.63475,1.16713,0.5179,0.99317,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,555.116,1.07197,0.54336,0.96274,0.95948,0.90918,0.95362,0.63919,1.16915,0.51121,0.99906,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,578.699,1.09954,0.54663,0.96773,0.9595,0.90345,0.95212,0.64356,1.15925,0.50972,0.9913,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,601.857,1.06638,0.53072,0.96142,0.95695,0.91219,0.95636,0.64814,1.14853,0.5017,0.98884,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,624.63,1.07322,0.52759,0.96136,0.95231,0.90174,0.9533,0.64604,1.15605,0.50663,0.99283,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,646.699,1.04274,0.51339,0.95519,0.94898,0.9052,0.9557,0.65332,1.14114,0.49587,0.98724,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,668.683,1.0612,0.51867,0.95867,0.95211,0.90316,0.95053,0.6486,1.14662,0.50321,0.99274,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,690.715,1.041,0.513,0.95369,0.95983,0.90667,0.95568,0.65255,1.13436,0.49529,0.98831,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
