epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,510.591,1.35013,1.38235,1.49189,0.84387,0.78847,0.86124,0.53487,1.28733,0.76231,1.28117,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207
2,888.927,1.31555,1.08933,1.43023,0.86585,0.78337,0.86522,0.5238,1.32905,0.78651,1.30681,0.0196003,0.00653343,0.0196003,0.00653343,0.0196003,0.00653343,0.0196003,0.00653343
3,1235.32,1.39602,1.24772,1.48698,0.84984,0.73042,0.82458,0.50429,1.34425,0.91743,1.34208,0.0288084,0.00960279,0.0288084,0.00960279,0.0288084,0.00960279,0.0288084,0.00960279
4,1569.4,1.42047,1.30496,1.52387,0.86974,0.76967,0.85421,0.52599,1.3054,0.82274,1.32037,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1914.47,1.35981,1.1854,1.47057,0.87481,0.78594,0.87061,0.54509,1.28967,0.77114,1.29534,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2251.33,1.30723,1.09221,1.4413,0.87523,0.80469,0.88588,0.55981,1.24928,0.73909,1.28914,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2595.57,1.27898,1.02585,1.4194,0.8765,0.82796,0.89214,0.58063,1.2103,0.68734,1.23598,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2947.21,1.2437,0.97263,1.39161,0.89781,0.83337,0.91118,0.59631,1.18476,0.65929,1.21881,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3291.3,1.21553,0.93794,1.37426,0.87979,0.83821,0.90715,0.602,1.17251,0.65345,1.21437,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3637.79,1.19283,0.89043,1.35981,0.9012,0.84086,0.91094,0.60476,1.16419,0.63975,1.21014,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3999.97,1.16754,0.8532,1.33498,0.91062,0.8396,0.91481,0.61379,1.14829,0.61579,1.20293,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4360.79,1.14397,0.82494,1.32505,0.90376,0.85902,0.92057,0.61883,1.14537,0.60661,1.19479,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4723.21,1.12975,0.79975,1.30256,0.90409,0.8771,0.93189,0.62718,1.13756,0.57059,1.18826,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5078.41,1.11029,0.77291,1.29309,0.91361,0.86929,0.9297,0.63463,1.12177,0.56145,1.1711,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5437.2,1.09295,0.75344,1.28023,0.91189,0.87868,0.92701,0.63483,1.1197,0.56062,1.18093,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5794.77,1.07843,0.73661,1.26902,0.92877,0.87135,0.93578,0.63802,1.11828,0.55234,1.1744,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6154.54,1.05696,0.70537,1.25479,0.91655,0.87283,0.93345,0.63648,1.11953,0.55157,1.17285,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6513.74,1.03628,0.68686,1.23728,0.92076,0.88204,0.93452,0.64083,1.11059,0.5421,1.17467,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6873.57,1.02553,0.67215,1.22965,0.90744,0.88351,0.93338,0.64571,1.11152,0.53857,1.17503,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7232.29,1.00621,0.65816,1.21538,0.92236,0.88227,0.93443,0.64742,1.10804,0.52348,1.17068,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7590.84,0.98999,0.64135,1.20516,0.91336,0.88323,0.93545,0.6448,1.10787,0.52689,1.17468,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7952.28,0.97298,0.62674,1.19691,0.92096,0.88867,0.93732,0.65417,1.09669,0.51376,1.16991,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8311.07,0.96268,0.61158,1.1929,0.91526,0.8793,0.93093,0.64611,1.10039,0.53359,1.17279,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8670.46,0.94881,0.5979,1.1802,0.91853,0.88171,0.93479,0.65057,1.10296,0.51854,1.17305,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9029.32,0.93743,0.58684,1.17603,0.92824,0.88607,0.93704,0.65471,1.09884,0.50751,1.17862,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9390.1,0.92111,0.57118,1.16747,0.91765,0.88938,0.93661,0.65328,1.09206,0.51225,1.1718,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,9748.98,0.90831,0.56498,1.15524,0.93842,0.87198,0.9403,0.65854,1.09997,0.50706,1.17876,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10108.6,0.89768,0.55048,1.14876,0.92417,0.89154,0.93977,0.6584,1.08817,0.50277,1.17391,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,10468.4,0.88756,0.54046,1.13555,0.93161,0.88319,0.94138,0.65719,1.09568,0.49633,1.1717,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10827.1,0.87035,0.53142,1.13041,0.92228,0.88681,0.93779,0.65624,1.09435,0.49904,1.18378,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11186.8,0.86132,0.52559,1.12791,0.92643,0.88668,0.93858,0.66012,1.09051,0.50039,1.18586,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,11546.9,0.84513,0.50774,1.11684,0.93536,0.87816,0.9377,0.65946,1.08725,0.50439,1.17634,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11907,0.83689,0.50315,1.10564,0.92451,0.88854,0.93698,0.66072,1.0843,0.50142,1.17725,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12264.5,0.82412,0.49293,1.10148,0.91009,0.89689,0.93756,0.65885,1.08815,0.49832,1.1864,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12623.3,0.81568,0.48028,1.09896,0.92949,0.87832,0.93907,0.65833,1.09379,0.50809,1.19142,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
