epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.6726,1.57148,3.00237,1.76087,0.5113,0.56483,0.52728,0.29766,1.27229,1.54447,1.55577,0.00164762,0.000549205,0.00164762,0.000549205,0.00164762,0.000549205,0.00164762,0.000549205
2,76.2634,1.2155,1.26846,1.41099,0.7298,0.74708,0.75785,0.45263,1.18255,0.93014,1.33065,0.00324899,0.001083,0.00324899,0.001083,0.00324899,0.001083,0.00324899,0.001083
3,108.014,1.16277,0.95371,1.30201,0.79437,0.8033,0.84095,0.51758,1.14349,0.77016,1.24758,0.00478434,0.00159478,0.00478434,0.00159478,0.00478434,0.00159478,0.00478434,0.00159478
4,139.827,1.10778,0.81239,1.21951,0.75101,0.77137,0.79666,0.47807,1.19981,0.8662,1.27743,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,172.565,1.09659,0.75021,1.20414,0.82986,0.83073,0.88086,0.53652,1.14394,0.67843,1.22203,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,207.494,1.07445,0.7113,1.18799,0.8556,0.83151,0.89064,0.54674,1.14039,0.65102,1.2124,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,243.291,1.05416,0.67872,1.17237,0.85899,0.8421,0.89827,0.54969,1.14888,0.63321,1.21107,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,279.541,1.03636,0.66424,1.16447,0.84457,0.86453,0.90248,0.56322,1.12443,0.61816,1.19111,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,315.764,1.00451,0.63247,1.14553,0.8567,0.84776,0.89091,0.55127,1.12499,0.61191,1.21148,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,352.25,0.98155,0.61421,1.13966,0.87421,0.84231,0.90302,0.55993,1.1214,0.6088,1.19606,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,388.672,0.9599,0.59311,1.12113,0.85943,0.85455,0.8899,0.55221,1.12894,0.60335,1.20739,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,424.66,0.95414,0.57362,1.11805,0.87038,0.8514,0.90495,0.56411,1.1354,0.58398,1.21709,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,460.843,0.94855,0.57204,1.11659,0.86658,0.85175,0.89791,0.56539,1.10661,0.60367,1.19944,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,497.066,0.93262,0.54853,1.10518,0.84735,0.87944,0.90389,0.56735,1.12504,0.57859,1.21353,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,533.028,0.90685,0.5429,1.09662,0.83259,0.87765,0.89163,0.57384,1.10261,0.59736,1.21618,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,568.683,0.91497,0.53983,1.10092,0.87482,0.86203,0.90078,0.56779,1.12889,0.57872,1.21808,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,604.317,0.87385,0.51851,1.06857,0.877,0.85629,0.89876,0.56504,1.12159,0.58859,1.22802,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,639.762,0.87939,0.51051,1.07723,0.84772,0.86557,0.89649,0.57144,1.10305,0.58989,1.19824,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,676.493,0.86404,0.50203,1.06767,0.863,0.87784,0.91108,0.57992,1.13114,0.57546,1.22459,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,712.722,0.87274,0.49548,1.06855,0.88397,0.85739,0.90592,0.58302,1.12007,0.58007,1.21021,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,749.544,0.84628,0.48092,1.06019,0.86514,0.86139,0.88729,0.55546,1.12689,0.56805,1.24019,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,786.297,0.84487,0.48738,1.05534,0.84721,0.88955,0.90683,0.5736,1.1018,0.55852,1.2026,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,823.61,0.8274,0.46984,1.04009,0.86325,0.87599,0.90856,0.57298,1.10105,0.58257,1.19253,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,860.691,0.82024,0.46723,1.0327,0.88602,0.85272,0.90356,0.57202,1.10291,0.56407,1.19195,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,898.353,0.79761,0.45661,1.02617,0.87716,0.87572,0.90509,0.57056,1.11038,0.54561,1.19789,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,935.929,0.79727,0.44876,1.02254,0.8625,0.88328,0.89498,0.56852,1.10392,0.55773,1.20219,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,972.103,0.79024,0.44897,1.02325,0.86525,0.88458,0.9017,0.57445,1.11197,0.5699,1.21118,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
