epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.283,1.50632,2.68952,1.7193,0.56095,0.55778,0.565,0.32272,1.25671,1.4645,1.51206,0.00165725,0.000552417,0.00165725,0.000552417,0.00165725,0.000552417,0.00165725,0.000552417
2,84.2359,1.21922,1.23989,1.40132,0.76163,0.73731,0.78581,0.46881,1.17051,0.90932,1.32746,0.00325843,0.00108614,0.00325843,0.00108614,0.00325843,0.00108614,0.00325843,0.00108614
3,117.387,1.15859,0.93534,1.29549,0.83178,0.79374,0.8483,0.51427,1.14076,0.7639,1.2547,0.0047936,0.00159787,0.0047936,0.00159787,0.0047936,0.00159787,0.0047936,0.00159787
4,154.589,1.12339,0.85003,1.24029,0.80449,0.82777,0.8753,0.52956,1.14632,0.70511,1.23508,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,195.772,1.10776,0.77442,1.21575,0.81061,0.84576,0.88468,0.53901,1.13852,0.68905,1.2337,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,237.314,1.07345,0.72034,1.20096,0.85005,0.82355,0.87336,0.5315,1.13105,0.66491,1.22029,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,279.234,1.05086,0.68465,1.18249,0.84922,0.84082,0.87555,0.54646,1.10942,0.67332,1.19552,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,322.794,1.04418,0.66828,1.16175,0.85354,0.84049,0.88443,0.55118,1.12369,0.64687,1.18727,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,366.34,1.02332,0.66709,1.15929,0.85342,0.82545,0.88422,0.55786,1.11302,0.64135,1.19386,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,408.862,1.00203,0.63938,1.15363,0.86487,0.8347,0.89229,0.56025,1.11876,0.62306,1.20643,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,448.676,0.99884,0.62299,1.14317,0.87745,0.8499,0.89675,0.56224,1.11171,0.61266,1.17808,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,482.122,0.98218,0.6056,1.13256,0.8607,0.85713,0.89751,0.5559,1.10248,0.59782,1.19159,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,514.649,0.96298,0.57833,1.12418,0.87309,0.86136,0.90646,0.56886,1.1198,0.58771,1.19344,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,546.276,0.94739,0.56526,1.11372,0.85468,0.87501,0.90425,0.56645,1.1136,0.58241,1.20289,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,585.759,0.93532,0.55344,1.0964,0.8377,0.86365,0.8929,0.56232,1.11394,0.60652,1.17587,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,627.848,0.92174,0.55066,1.09409,0.88993,0.8304,0.89974,0.56559,1.11221,0.59357,1.18445,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,670.624,0.89406,0.52561,1.08065,0.85812,0.8678,0.90056,0.57094,1.12077,0.57687,1.18044,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,706.928,0.90166,0.52421,1.08061,0.83739,0.87428,0.90274,0.57216,1.10874,0.59404,1.19093,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
